K05,O,K62,K40,P,K33,K48,NA,NA
0,1,0,0,1,1,NA,NA,NA
0,1,0,0,1,1,NA,NA,NA
0,1,0,0,1,NA,NA,NA,NA
0,1,0,0,1,0,0,NA,NA
0,1,0,0,1,0,0,NA,NA
0,1,0,0,1,0,0,NA,NA
0,1,0,0,1,0,0,NA,NA
0,1,0,0,1,0,0,NA,NA
0,1,0,1,1,0,0,NA,NA
0,1,0,1,1,0,0,NA,NA
0,1,0,1,1,0,0,NA,NA
0,1,0,1,1,0,0,NA,NA
0,1,0,0,1,0,0,NA,NA
0,1,0,0,1,0,0,NA,NA
0,1,0,0,1,0,0,NA,NA
0,1,0,0,1,0,0,NA,NA
0,1,0,0,1,0,0,NA,NA
0,1,0,0,1,0,0,NA,NA
0,1,0,0,1,0,0,NA,NA
0,1,0,0,1,0,0,NA,NA
0,1,0,0,1,0,0,NA,NA
1,1,0,0,1,0,0,NA,NA
1,1,0,0,1,0,0,NA,NA
1,1,0,0,1,0,0,NA,NA
1,1,0,0,1,0,0,NA,NA
0,1,0,0,1,0,0,NA,NA
