E10,E11,GFP1,GFP2,E12,E13,E14,GFP3,E15
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,1
0,0,1,1,0,0,0,1,1
0,0,1,1,0,0,0,1,NA
0,0,1,1,0,0,0,1,NA
0,0,1,1,0,0,0,1,NA
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,1,0,1,0,1,0
0,0,1,1,0,1,0,1,0
0,0,1,1,0,1,0,1,0
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,1
