GFP4,E16,E17,E18,GFP5,E19,E20,E21,GFP6
1,0,0,0,1,1,0,0,1
1,0,0,0,1,0,0,0,1
1,1,0,0,1,1,0,0,1
1,NA,0,0,1,NA,NA,0,1
1,NA,0,0,1,NA,NA,0,1
1,NA,0,0,1,NA,NA,1,1
1,0,0,0,1,NA,NA,1,1
1,0,0,0,1,NA,NA,0,1
1,0,0,0,1,NA,NA,0,1
1,0,0,0,1,NA,NA,1,1
1,0,0,0,1,NA,0,1,1
1,0,0,0,1,0,0,0,1
1,0,0,0,1,0,0,0,1
1,0,0,0,1,0,0,1,1
1,0,0,0,1,0,0,1,1
1,0,0,0,1,0,0,1,1
1,0,0,0,1,0,0,1,1
1,0,0,0,1,0,0,1,1
1,0,0,0,1,0,0,1,1
1,0,0,0,1,0,0,1,1
1,0,0,0,1,0,0,1,1
1,0,0,0,1,0,0,1,1
1,0,0,0,1,0,0,1,1
1,0,0,0,1,0,0,1,1
1,0,0,0,1,0,0,1,1
1,0,0,0,1,0,0,1,1
1,0,0,0,1,0,1,1,1
1,0,0,0,1,1,0,1,1
1,0,0,0,1,0,1,1,1
1,0,0,0,1,0,1,1,1
1,0,0,0,1,0,1,1,1
1,0,0,0,1,0,0,0,1
NA,1,0,0,NA,1,1,1,NA
NA,NA,0,0,NA,NA,NA,NA,NA
