E22,GFP7,E23,E24,E25,GFP8,GFP9,E26,E27
0,1,1,0,0,1,1,0,0
0,1,1,0,0,1,1,0,0
0,1,NA,0,0,1,1,0,0
0,1,NA,0,0,1,1,0,0
0,1,NA,0,0,1,1,0,0
0,1,NA,0,0,1,1,0,0
1,1,NA,1,0,1,1,0,1
0,1,NA,0,0,1,1,0,1
0,1,NA,1,1,1,1,0,1
0,1,NA,1,1,1,1,0,1
0,1,NA,1,1,1,1,0,1
0,1,0,1,1,1,1,0,1
0,1,0,1,1,1,1,0,1
0,1,0,1,1,1,1,0,1
0,1,0,1,1,1,1,0,1
0,1,0,1,1,1,1,0,1
0,1,0,1,1,1,1,0,1
0,1,0,1,1,1,1,0,1
0,1,0,1,1,1,1,NA,NA
0,1,0,1,1,1,1,NA,NA
0,1,0,1,1,1,1,NA,NA
0,1,0,1,1,1,1,NA,NA
0,1,0,1,1,1,1,NA,NA
1,1,0,1,1,1,1,NA,NA
1,1,0,NA,NA,1,1,NA,NA
1,1,0,NA,NA,1,1,NA,NA
1,1,NA,NA,NA,1,1,NA,NA
1,1,NA,NA,NA,1,1,0,NA
1,1,NA,NA,NA,1,1,0,NA
1,1,NA,NA,NA,1,1,0,NA
1,1,NA,NA,NA,1,1,0,NA
0,1,0,1,0,1,1,0,0
1,NA,1,0,0,NA,NA,1,1
NA,NA,NA,0,0,NA,NA,NA,NA
