E28,E29,GFP10,E30,E31,GFP11,E32,GFP12,E33
0,0,1,1,0,1,0,1,1
0,0,1,1,1,1,1,1,1
0,1,1,NA,NA,1,NA,1,NA
0,NA,1,NA,NA,1,NA,1,NA
0,NA,1,NA,NA,1,NA,1,NA
0,NA,1,NA,NA,1,NA,1,NA
0,NA,1,NA,NA,1,NA,1,NA
1,NA,1,NA,NA,1,NA,1,NA
1,NA,1,NA,NA,1,NA,1,NA
1,NA,1,NA,NA,1,NA,1,NA
1,NA,1,NA,NA,1,NA,1,NA
1,0,1,NA,NA,1,NA,1,0
1,0,1,NA,NA,1,NA,1,0
1,0,1,NA,NA,1,0,1,0
1,0,1,NA,NA,1,0,1,0
1,0,1,NA,NA,1,0,1,0
1,0,1,NA,NA,1,0,1,0
1,0,1,,,1,1,1,1
0,0,1,NA,NA,1,0,1,0
0,0,1,NA,NA,1,0,1,0
0,0,1,NA,NA,1,0,1,0
0,0,1,NA,NA,1,0,1,0
0,0,1,0,NA,1,0,1,0
0,0,1,0,0,1,0,1,0
0,0,1,0,0,1,0,1,0
0,0,1,0,0,1,0,1,0
0,0,1,0,0,1,0,1,0
1,0,1,1,0,1,0,1,1
0,0,1,0,0,1,0,1,0
0,0,1,0,0,1,0,1,1
0,0,1,0,0,1,0,1,0
0,0,1,0,0,1,0,1,0
0,1,NA,1,0,NA,1,NA,0
1,NA,NA,NA,1,NA,,NA,0
