E34,GFP13,E35,E36,NA,NA,NA,NA,NA
0,1,0,1,NA,NA,NA,NA,NA
1,1,0,0,NA,NA,NA,NA,NA
NA,1,0,0,NA,NA,NA,NA,NA
NA,1,0,0,NA,NA,NA,NA,NA
NA,1,0,0,NA,NA,NA,NA,NA
NA,1,0,0,NA,NA,NA,NA,NA
NA,1,1,0,NA,NA,NA,NA,NA
NA,1,1,0,NA,NA,NA,NA,NA
NA,1,1,0,NA,NA,NA,NA,NA
NA,1,1,0,NA,NA,NA,NA,NA
NA,1,1,0,NA,NA,NA,NA,NA
0,1,1,0,NA,NA,NA,NA,NA
0,1,1,0,NA,NA,NA,NA,NA
0,1,1,0,NA,NA,NA,NA,NA
0,1,1,0,NA,NA,NA,NA,NA
0,1,1,0,NA,NA,NA,NA,NA
0,1,1,0,NA,NA,NA,NA,NA
0,1,1,1,NA,NA,NA,NA,NA
0,1,1,0,NA,NA,NA,NA,NA
0,1,1,0,NA,NA,NA,NA,NA
0,1,1,0,NA,NA,NA,NA,NA
0,1,1,0,NA,NA,NA,NA,NA
0,1,1,0,NA,NA,NA,NA,NA
0,1,1,0,NA,NA,NA,NA,NA
0,1,0,0,NA,NA,NA,NA,NA
0,1,0,0,NA,NA,NA,NA,NA
0,1,0,0,NA,NA,NA,NA,NA
0,1,0,1,NA,NA,NA,NA,NA
0,1,0,0,NA,NA,NA,NA,NA
0,1,0,0,NA,NA,NA,NA,NA
0,1,0,0,NA,NA,NA,NA,NA
0,1,0,0,NA,NA,NA,NA,NA
0,NA,NA,0,NA,NA,NA,NA,NA
0,NA,NA,1,NA,NA,NA,NA,NA
